📺央视频道,#genre#
CCTV-1,http://iptv.yjxfz.com:80/tv/play/4/73716018II3IA31A/N9E90D28495IN71E$2560x1440
CCTV-1,http://1.70.33.48:8084/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://1.70.32.19:8084/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://110.178.52.91:8082/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://60.220.167.197:8085/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://171.116.226.246:8084/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://110.178.52.75:8083/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://171.213.202.76:5555/rtp/239.93.0.184:5140$1920x1080
CCTV-1,http://119.98.124.146:4022/rtp/239.254.96.96:8550$1920x1080
CCTV-1,http://111.165.213.195:8000/rtp/225.1.1.120:5002$1920x1080
CCTV-1,http://60.223.68.81:10000/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://origin.lean.org.cn:4000/udp/239.45.3.145:5140$1920x1080
CCTV-1,http://115.193.110.191:8888/rtp/233.50.201.222:5140$1920x1080
CCTV-1,http://60.220.167.197:8082/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://60.27.20.30:5555/rtp/225.1.1.120:5002$1920x1080
CCTV-1,http://110.178.52.91:8085/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://110.179.80.208:8083/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://27.10.214.78:8001/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://119.166.31.243:1026/rtp/239.253.254.77:8000$1920x1080
CCTV-1,http://118.79.7.119:6001/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://119.129.238.239:10000/rtp/239.77.0.86:5146$1920x1080
CCTV-1,http://h.ttsystems.cn:4000/udp/225.1.8.1:8008$1920x1080
CCTV-1,http://221.205.202.113:8085/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://42.4.217.176:9006/rtp/232.0.0.27:1234$1920x1080
CCTV-1,http://123.113.237.160:8888/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://42.4.217.176:9009/rtp/232.0.0.27:1234$1920x1080
CCTV-1,http://171.116.12.142:8085/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://www.furymax.top:85/rtp/239.254.96.96:8550$1920x1080
CCTV-1,http://27.10.77.52:8007/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://223.10.11.187:8083/rtp/239.1.1.7:8007$1920x1080
CCTV-2,http://123.112.213.221:4022/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://111.165.213.195:8000/rtp/225.1.1.133:5002$1920x1080
CCTV-2,http://ayolee.com:5253/rtp/239.93.1.23:6000$1920x1080
CCTV-2,http://123.113.186.207:8000/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://60.27.20.30:5555/rtp/225.1.1.133:5002$1920x1080
CCTV-2,http://123.113.254.161:8012/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://114.254.80.240:2222/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://223.13.160.204:4022/rtp/239.1.1.8:8008$1920x1080
CCTV-2,http://123.122.163.183:19999/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://114.246.199.171:8888/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://111.196.132.49:20000/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://123.118.67.206:8012/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://123.113.237.160:8888/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://121.226.106.51:4022/rtp/239.49.8.130:6000$1920x1080
CCTV-2,http://s.cdhongyuan.cn:4022/udp/239.93.1.23:6000$1920x1080
CCTV-2,http://119.98.133.99:4022/rtp/239.69.1.102:10250$1920x1080
CCTV-2,http://221.221.165.219:8888/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://114.243.98.221:4022/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://123.113.110.201:4022/rtp/239.3.1.60:8084$1920x1080
CCTV-2,https://livednow.com/migu/631780532?sign=gAAAAABmwyZNSSKcXhhXZdK0XuSNBPouks3aRU5mg0SYUXksZqOKQmqx643bOPLkE1Btl-9iJUm4lHOccfzcnleD3y1KIn5J0owyyqKXNYF7h1xzuFRZvRnIQZXA7YA8ZUYgSYTGzdxYJImthu8TCbWBzq1zzQNK2MQ7pk9C80Bd-C8BFjxz2cacL59xiukxtIzYStzrzazLPAKDlDELvw-61eHlWTO1vQ%3D%3D$1920x1080
CCTV-2,http://60.26.62.168:8000/rtp/225.1.1.133:5002$1920x1080
CCTV-2,http://110.177.146.171:888/rtp/239.1.1.8:8008$1920x1080
CCTV-2,https://cntv.lat/tv/live.php?auth=231110&id=cctv2$1280x720
CCTV-2,http://223.241.247.214:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://113.65.162.95:9999/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://121.24.98.226:8090/hls/10/index.m3u8
CCTV-2,http://110.80.17.38:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV-2,http://110.189.102.15:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://112.46.85.60:8009/hls/502/index.m3u8
CCTV-2,http://124.94.193.136:9902/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://223.10.11.187:8082/rtp/239.1.1.9:8009$1920x1080
CCTV-3,http://223.12.12.89:8084/rtp/239.1.1.9:8009$1920x1080
CCTV-3,http://61.175.237.198:1111/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-3,http://58.17.48.228:808/hls/3/index.m3u8
CCTV-3,http://123.7.110.43:9901/tsfile/live/0003_1.m3u8
CCTV-3,http://dassby.qqff.top:99/live/cctv3/index.m3u8
